IntendedOnset,IntendedDuration,Condition,ItemNumber,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Flip,Order_agent,Order_patient
24,2,Agent,13,Kyle,Square,square,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Kyle Square is balancing Lily Triangle.,Kyle Square balanced Lily Triangle.,The square is balancing the triangle.,The square balanced the triangle.,Lily Triangle is being balanced by Kyle Square.,Lily Triangle was balanced by Kyle Square.,The triangle is being balanced by the square.,The triangle was balanced by the square.,1,6,56
26,2,Agent,55,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,0,7,13
28,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,2,Patient,42,Zach,Star,star,Melissa,Oval,oval,shak,shook,shaken,shake,Zach Star is shaking Melissa Oval.,Zach Star shook Melissa Oval.,The star is shaking the oval.,The star shook the oval.,Melissa Oval is being shaken by Zach Star.,Melissa Oval was shaken by Zach Star.,The oval is being shaken by the star.,The oval was shaken by the star.,1,44,5
32,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,Patient,46,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,0,27,6
36,2,Patient,57,Melissa,Oval,oval,Zach,Star,star,shak,shook,shaken,shake,Melissa Oval is shaking Zach Star.,Melissa Oval shook Zach Star.,The oval is shaking the star.,The oval shook the star.,Zach Star is being shaken by Melissa Oval.,Zach Star was shaken by Melissa Oval.,The star is being shaken by the oval.,The star was shaken by the oval.,1,56,7
38,2,Patient,17,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,1,22,8
40,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2,Agent,34,Zach,Star,star,Kyle,Square,square,bounc,bounced,bounced,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.,Kyle Square is being bounced by Zach Star.,Kyle Square was bounced by Zach Star.,The square is being bounced by the star.,The square was bounced by the star.,1,8,17
44,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2,Patient,25,Lily,Triangle,triangle,Kyle,Square,square,shak,shook,shaken,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.,Kyle Square is being shaken by Lily Triangle.,Kyle Square was shaken by Lily Triangle.,The square is being shaken by the triangle.,The square was shaken by the triangle.,0,24,9
48,2,Agent,37,Zach,Star,star,Kyle,Square,square,roll,rolled,rolled,roll,Zach Star is rolling Kyle Square.,Zach Star rolled Kyle Square.,The star is rolling the square.,The star rolled the square.,Kyle Square is being rolled by Zach Star.,Kyle Square was rolled by Zach Star.,The square is being rolled by the star.,The square was rolled by the star.,1,9,35
50,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2,Agent,5,Kyle,Square,square,Zach,Star,star,bounc,bounced,bounced,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.,Zach Star is being bounced by Kyle Square.,Zach Star was bounced by Kyle Square.,The star is being bounced by the square.,The star was bounced by the square.,0,10,24
54,2,Patient,10,Kyle,Square,square,Lily,Triangle,triangle,shak,shook,shaken,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.,Lily Triangle is being shaken by Kyle Square.,Lily Triangle was shaken by Kyle Square.,The triangle is being shaken by the square.,The triangle was shaken by the square.,0,45,10
56,2,Patient,7,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,1,34,11
58,2,Patient,45,Zach,Star,star,Melissa,Oval,oval,balanc,balanced,balanced,balance,Zach Star is balancing Melissa Oval.,Zach Star balanced Melissa Oval.,The star is balancing the oval.,The star balanced the oval.,Melissa Oval is being balanced by Zach Star.,Melissa Oval was balanced by Zach Star.,The oval is being balanced by the star.,The oval was balanced by the star.,0,57,12
60,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2,Patient,55,Melissa,Oval,oval,Kyle,Square,square,shak,shook,shaken,shake,Melissa Oval is shaking Kyle Square.,Melissa Oval shook Kyle Square.,The oval is shaking the square.,The oval shook the square.,Kyle Square is being shaken by Melissa Oval.,Kyle Square was shaken by Melissa Oval.,The square is being shaken by the oval.,The square was shaken by the oval.,0,7,13
64,2,Patient,52,Melissa,Oval,oval,Kyle,Square,square,roll,rolled,rolled,roll,Melissa Oval is rolling Kyle Square.,Melissa Oval rolled Kyle Square.,The oval is rolling the square.,The oval rolled the square.,Kyle Square is being rolled by Melissa Oval.,Kyle Square was rolled by Melissa Oval.,The square is being rolled by the oval.,The square was rolled by the oval.,0,43,14
66,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2,Patient,50,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.,Lily Triangle is being bounced by Melissa Oval.,Lily Triangle was bounced by Melissa Oval.,The triangle is being bounced by the oval.,The triangle was bounced by the oval.,0,16,15
70,2,Agent,49,Melissa,Oval,oval,Kyle,Square,square,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Kyle Square.,Melissa Oval bounced Kyle Square.,The oval is bouncing the square.,The oval bounced the square.,Kyle Square is being bounced by Melissa Oval.,Kyle Square was bounced by Melissa Oval.,The square is being bounced by the oval.,The square was bounced by the oval.,1,11,52
72,2,Agent,14,Kyle,Square,square,Zach,Star,star,balanc,balanced,balanced,balance,Kyle Square is balancing Zach Star.,Kyle Square balanced Zach Star.,The square is balancing the star.,The square balanced the star.,Zach Star is being balanced by Kyle Square.,Zach Star was balanced by Kyle Square.,The star is being balanced by the square.,The star was balanced by the square.,0,12,59
74,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2,Agent,16,Lily,Triangle,triangle,Kyle,Square,square,stopp,stopped,stopped,stop,Lily Triangle is stopping Kyle Square.,Lily Triangle stopped Kyle Square.,The triangle is stopping the square.,The triangle stopped the square.,Kyle Square is being stopped by Lily Triangle.,Kyle Square was stopped by Lily Triangle.,The square is being stopped by the triangle.,The square was stopped by the triangle.,0,13,40
78,2,Patient,39,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,1,20,16
80,2,Agent,40,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,1,14,45
82,2,Agent,24,Lily,Triangle,triangle,Melissa,Oval,oval,roll,rolled,rolled,roll,Lily Triangle is rolling Melissa Oval.,Lily Triangle rolled Melissa Oval.,The triangle is rolling the oval.,The triangle rolled the oval.,Melissa Oval is being rolled by Lily Triangle.,Melissa Oval was rolled by Lily Triangle.,The oval is being rolled by the triangle.,The oval was rolled by the triangle.,1,15,57
84,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2,Agent,50,Melissa,Oval,oval,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Melissa Oval is bouncing Lily Triangle.,Melissa Oval bounced Lily Triangle.,The oval is bouncing the triangle.,The oval bounced the triangle.,Lily Triangle is being bounced by Melissa Oval.,Lily Triangle was bounced by Melissa Oval.,The triangle is being bounced by the oval.,The triangle was bounced by the oval.,0,16,15
90,2,Patient,34,Zach,Star,star,Kyle,Square,square,bounc,bounced,bounced,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.,Kyle Square is being bounced by Zach Star.,Kyle Square was bounced by Zach Star.,The square is being bounced by the star.,The square was bounced by the star.,1,8,17
92,2,Agent,26,Lily,Triangle,triangle,Zach,Star,star,shak,shook,shaken,shake,Lily Triangle is shaking Zach Star.,Lily Triangle shook Zach Star.,The triangle is shaking the star.,The triangle shook the star.,Zach Star is being shaken by Lily Triangle.,Zach Star was shaken by Lily Triangle.,The star is being shaken by the triangle.,The star was shaken by the triangle.,0,17,44
94,2,Patient,30,Lily,Triangle,triangle,Melissa,Oval,oval,balanc,balanced,balanced,balance,Lily Triangle is balancing Melissa Oval.,Lily Triangle balanced Melissa Oval.,The triangle is balancing the oval.,The triangle balanced the oval.,Melissa Oval is being balanced by Lily Triangle.,Melissa Oval was balanced by Lily Triangle.,The oval is being balanced by the triangle.,The oval was balanced by the triangle.,1,47,18
96,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2,Patient,32,Zach,Star,star,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Zach Star is stopping Lily Triangle.,Zach Star stopped Lily Triangle.,The star is stopping the triangle.,The star stopped the triangle.,Lily Triangle is being stopped by Zach Star.,Lily Triangle was stopped by Zach Star.,The triangle is being stopped by the star.,The triangle was stopped by the star.,0,38,19
100,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2,Patient,35,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,1,31,20
104,2,Agent,18,Lily,Triangle,triangle,Melissa,Oval,oval,stopp,stopped,stopped,stop,Lily Triangle is stopping Melissa Oval.,Lily Triangle stopped Melissa Oval.,The triangle is stopping the oval.,The triangle stopped the oval.,Melissa Oval is being stopped by Lily Triangle.,Melissa Oval was stopped by Lily Triangle.,The oval is being stopped by the triangle.,The oval was stopped by the triangle.,1,18,46
106,2,Patient,43,Zach,Star,star,Kyle,Square,square,balanc,balanced,balanced,balance,Zach Star is balancing Kyle Square.,Zach Star balanced Kyle Square.,The star is balancing the square.,The star balanced the square.,Kyle Square is being balanced by Zach Star.,Kyle Square was balanced by Zach Star.,The square is being balanced by the star.,The square was balanced by the star.,1,2,21
108,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2,Agent,59,Melissa,Oval,oval,Lily,Triangle,triangle,balanc,balanced,balanced,balance,Melissa Oval is balancing Lily Triangle.,Melissa Oval balanced Lily Triangle.,The oval is balancing the triangle.,The oval balanced the triangle.,Lily Triangle is being balanced by Melissa Oval.,Lily Triangle was balanced by Melissa Oval.,The triangle is being balanced by the oval.,The triangle was balanced by the oval.,0,19,36
112,2,Patient,28,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,1,30,22
114,2,Patient,36,Zach,Star,star,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Zach Star is bouncing Melissa Oval.,Zach Star bounced Melissa Oval.,The star is bouncing the oval.,The star bounced the oval.,Melissa Oval is being bounced by Zach Star.,Melissa Oval was bounced by Zach Star.,The oval is being bounced by the star.,The oval was bounced by the star.,0,58,23
116,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2,Agent,39,Zach,Star,star,Melissa,Oval,oval,roll,rolled,rolled,roll,Zach Star is rolling Melissa Oval.,Zach Star rolled Melissa Oval.,The star is rolling the oval.,The star rolled the oval.,Melissa Oval is being rolled by Zach Star.,Melissa Oval was rolled by Zach Star.,The oval is being rolled by the star.,The oval was rolled by the star.,1,20,16
120,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2,Agent,58,Melissa,Oval,oval,Kyle,Square,square,balanc,balanced,balanced,balance,Melissa Oval is balancing Kyle Square.,Melissa Oval balanced Kyle Square.,The oval is balancing the square.,The oval balanced the square.,Kyle Square is being balanced by Melissa Oval.,Kyle Square was balanced by Melissa Oval.,The square is being balanced by the oval.,The square was balanced by the oval.,0,21,43
124,2,Patient,5,Kyle,Square,square,Zach,Star,star,bounc,bounced,bounced,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.,Zach Star is being bounced by Kyle Square.,Zach Star was bounced by Kyle Square.,The star is being bounced by the square.,The star was bounced by the square.,0,10,24
126,2,Agent,17,Lily,Triangle,triangle,Zach,Star,star,stopp,stopped,stopped,stop,Lily Triangle is stopping Zach Star.,Lily Triangle stopped Zach Star.,The triangle is stopping the star.,The triangle stopped the star.,Zach Star is being stopped by Lily Triangle.,Zach Star was stopped by Lily Triangle.,The star is being stopped by the triangle.,The star was stopped by the triangle.,1,22,8
128,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,2,Patient,41,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,1,26,25
132,2,Patient,6,Kyle,Square,square,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Kyle Square is bouncing Melissa Oval.,Kyle Square bounced Melissa Oval.,The square is bouncing the oval.,The square bounced the oval.,Melissa Oval is being bounced by Kyle Square.,Melissa Oval was bounced by Kyle Square.,The oval is being bounced by the square.,The oval was bounced by the square.,0,39,26
134,2,Patient,21,Lily,Triangle,triangle,Melissa,Oval,oval,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Melissa Oval.,Lily Triangle bounced Melissa Oval.,The triangle is bouncing the oval.,The triangle bounced the oval.,Melissa Oval is being bounced by Lily Triangle.,Melissa Oval was bounced by Lily Triangle.,The oval is being bounced by the triangle.,The oval was bounced by the triangle.,0,49,27
136,2,Agent,20,Lily,Triangle,triangle,Zach,Star,star,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Zach Star.,Lily Triangle bounced Zach Star.,The triangle is bouncing the star.,The triangle bounced the star.,Zach Star is being bounced by Lily Triangle.,Zach Star was bounced by Lily Triangle.,The star is being bounced by the triangle.,The star was bounced by the triangle.,0,23,37
138,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,2,Patient,48,Melissa,Oval,oval,Zach,Star,star,stopp,stopped,stopped,stop,Melissa Oval is stopping Zach Star.,Melissa Oval stopped Zach Star.,The oval is stopping the star.,The oval stopped the star.,Zach Star is being stopped by Melissa Oval.,Zach Star was stopped by Melissa Oval.,The star is being stopped by the oval.,The star was stopped by the oval.,1,46,28
144,2,Patient,8,Kyle,Square,square,Zach,Star,star,roll,rolled,rolled,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.,Zach Star is being rolled by Kyle Square.,Zach Star was rolled by Kyle Square.,The star is being rolled by the square.,The star was rolled by the square.,1,52,29
146,2,Agent,25,Lily,Triangle,triangle,Kyle,Square,square,shak,shook,shaken,shake,Lily Triangle is shaking Kyle Square.,Lily Triangle shook Kyle Square.,The triangle is shaking the square.,The triangle shook the square.,Kyle Square is being shaken by Lily Triangle.,Kyle Square was shaken by Lily Triangle.,The square is being shaken by the triangle.,The square was shaken by the triangle.,0,24,9
148,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,2,Patient,23,Lily,Triangle,triangle,Zach,Star,star,roll,rolled,rolled,roll,Lily Triangle is rolling Zach Star.,Lily Triangle rolled Zach Star.,The triangle is rolling the star.,The triangle rolled the star.,Zach Star is being rolled by Lily Triangle.,Zach Star was rolled by Lily Triangle.,The star is being rolled by the triangle.,The star was rolled by the triangle.,0,60,30
152,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,2,Agent,19,Lily,Triangle,triangle,Kyle,Square,square,bounc,bounced,bounced,bounce,Lily Triangle is bouncing Kyle Square.,Lily Triangle bounced Kyle Square.,The triangle is bouncing the square.,The triangle bounced the square.,Kyle Square is being bounced by Lily Triangle.,Kyle Square was bounced by Lily Triangle.,The square is being bounced by the triangle.,The square was bounced by the triangle.,0,25,55
158,2,Agent,41,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,1,26,25
160,2,Agent,46,Melissa,Oval,oval,Kyle,Square,square,stopp,stopped,stopped,stop,Melissa Oval is stopping Kyle Square.,Melissa Oval stopped Kyle Square.,The oval is stopping the square.,The oval stopped the square.,Kyle Square is being stopped by Melissa Oval.,Kyle Square was stopped by Melissa Oval.,The square is being stopped by the oval.,The square was stopped by the oval.,0,27,6
162,2,Agent,54,Melissa,Oval,oval,Zach,Star,star,roll,rolled,rolled,roll,Melissa Oval is rolling Zach Star.,Melissa Oval rolled Zach Star.,The oval is rolling the star.,The oval rolled the star.,Zach Star is being rolled by Melissa Oval.,Zach Star was rolled by Melissa Oval.,The star is being rolled by the oval.,The star was rolled by the oval.,0,28,51
164,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,2,Agent,33,Zach,Star,star,Melissa,Oval,oval,stopp,stopped,stopped,stop,Zach Star is stopping Melissa Oval.,Zach Star stopped Melissa Oval.,The star is stopping the oval.,The star stopped the oval.,Melissa Oval is being stopped by Zach Star.,Melissa Oval was stopped by Zach Star.,The oval is being stopped by the star.,The oval was stopped by the star.,1,29,38
168,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,2,Agent,28,Lily,Triangle,triangle,Kyle,Square,square,balanc,balanced,balanced,balance,Lily Triangle is balancing Kyle Square.,Lily Triangle balanced Kyle Square.,The triangle is balancing the square.,The triangle balanced the square.,Kyle Square is being balanced by Lily Triangle.,Kyle Square was balanced by Lily Triangle.,The square is being balanced by the triangle.,The square was balanced by the triangle.,1,30,22
172,2,Agent,35,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,1,31,20
174,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,2,Agent,56,Melissa,Oval,oval,Lily,Triangle,triangle,shak,shook,shaken,shake,Melissa Oval is shaking Lily Triangle.,Melissa Oval shook Lily Triangle.,The oval is shaking the triangle.,The oval shook the triangle.,Lily Triangle is being shaken by Melissa Oval.,Lily Triangle was shaken by Melissa Oval.,The triangle is being shaken by the oval.,The triangle was shaken by the oval.,1,32,1
178,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,2,Patient,1,Kyle,Square,square,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Kyle Square is stopping Lily Triangle.,Kyle Square stopped Lily Triangle.,The square is stopping the triangle.,The square stopped the triangle.,Lily Triangle is being stopped by Kyle Square.,Lily Triangle was stopped by Kyle Square.,The triangle is being stopped by the square.,The triangle was stopped by the square.,1,1,31
182,2,Patient,47,Melissa,Oval,oval,Lily,Triangle,triangle,stopp,stopped,stopped,stop,Melissa Oval is stopping Lily Triangle.,Melissa Oval stopped Lily Triangle.,The oval is stopping the triangle.,The oval stopped the triangle.,Lily Triangle is being stopped by Melissa Oval.,Lily Triangle was stopped by Melissa Oval.,The triangle is being stopped by the oval.,The triangle was stopped by the oval.,1,42,32
184,2,Agent,3,Kyle,Square,square,Melissa,Oval,oval,stopp,stopped,stopped,stop,Kyle Square is stopping Melissa Oval.,Kyle Square stopped Melissa Oval.,The square is stopping the oval.,The square stopped the oval.,Melissa Oval is being stopped by Kyle Square.,Melissa Oval was stopped by Kyle Square.,The oval is being stopped by the square.,The oval was stopped by the square.,1,33,53
186,2,Patient,38,Zach,Star,star,Lily,Triangle,triangle,roll,rolled,rolled,roll,Zach Star is rolling Lily Triangle.,Zach Star rolled Lily Triangle.,The star is rolling the triangle.,The star rolled the triangle.,Lily Triangle is being rolled by Zach Star.,Lily Triangle was rolled by Zach Star.,The triangle is being rolled by the star.,The triangle was rolled by the star.,0,54,33
188,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
